row,session,question
45,Jobs,"The address from API, where is that used?"
46,Jobs,The Inclusion page uses shared components—how are those configured?
47,Jobs,"To help us provide accurate feedback, can you please include direct links to each component reviewed during these sessions so we can easily reference them afterward?"
48,Jobs,Told tags are internal metadata to categorize content but can they be used to query content?
49,Jobs,We understand LD JSON is not used but why is it there and what does it do if used?
50,Jobs,What does a Hiring Event detail page template look like?
51,Jobs,What does type do?
52,Jobs,What happens if a job detail page URL exists but job no longer exists in Workday?
53,Jobs,"What templates are used for returning applicants, team members?"
54,Jobs,Where are the filters for hot jobs listing page?
55,Jobs,Where is Job Zip Code used?
56,Jobs,Why are logos the same height as navigation links? Is that intentional from a design system perspective?
57,Events,What fields in the card and detail page are managed by status values?
58,Events,How do we schedule events to automatically publish and unpublish based on start and end date/time without manual intervention?
59,Events,How do we ensure events automatically drop off the Event Calendar after the end date/time without requiring manual unpublishing?
60,Events,How do we configure property-level timezones so event times always display in the venue’s local timezone instead of the user’s browser timezone?
61,Events,How do we restrict Location Reference selections by user role or property access to prevent cross-property publishing errors?
62,Events,"How do we configure custom tags (ex: “Dinner & Show,” “21+,” “Free Event”) beyond predefined categories and use them for filtering/display?"
63,Events,"How do we dynamically query and display events in other components (carousel, grid, homepage modules) outside of the Event Calendar component?"
64,Events,"How do we build event listings using queries (tags/metadata) instead of a single folder path, especially for cross-LOB “featured events” scenarios?"
65,Events,How do we exclude specific categories or tags when pulling events into a listing component?
66,Events,How do we control sorting behavior when two events share identical start dates and times?
67,Events,How do we manually reorder featured events within the same month beyond the default “Featured” checkbox logic?
68,Events,How do we temporarily hide an event without fully unpublishing the Content Fragment?
69,Events,How do we customize Event Detail Page layouts per property instead of using one global template?
70,Events,"How do we add structured modules to the Event Detail Page (ex: venue info, parking, FAQs, disclaimers) without embedding everything in the Description field?"
71,Events,How do we preview Event Detail pages in author mode without publishing to Stage or Production?
72,Events,How do we configure ticket prices?
73,Events,How do we preview Event Listing page in author mode without publishing to Stage or Production?
74,Events,"How do we configure recurring events (weekly, monthly) without creating separate Content Fragments for each occurrence?"
75,Events,How do I group events?
76,Events,"How do we conditionally display different CTAs (Buy Tickets, RSVP, Learn More) based on event type or status?"
77,Events,"How do we manage event-specific SEO fields (Meta Title, Meta Description, Open Graph, Schema Event markup)?"
78,Events,How do we display venue name separately from full address instead of relying solely on the Location Reference field?
79,Events,"How do we add structured compliance disclaimers (ex: 21+, ID required) as dedicated fields instead of manual RTE content?"
80,Events,How do we duplicate or clone events efficiently for repeat use cases?
81,Events,"How do we report on which Event Content Fragments are live, unpublished, expired, or scheduled?"
82,Events,How do we prioritize certain events globally (pinning logic) beyond chronological sorting?
83,Events,How do we integrate event status dynamically with ticketing systems?
84,Events,"How do we configure different event card layout variations (horizontal, vertical, large hero, compact)?"
85,Events,How do we configure default filters for specific properties (ex: default to “Concerts” category)?
86,Events,"How do we configure the filters: venues, categories, date presets and custom date range, properties?"
87,Events,How do we query events to be displayed within site in other pages?
88,Events,How do we query events from multiple sites or all sites to be displayed in other site? (i.e. entertainment site)
89,Events,"How do we configure event lifecycle states (Announcement/Presale/On-Sale/Post-Event/Cancelled/Rescheduled) so the badge, CTA, and messaging change automatically without manual republish?"
90,Events,"How do we define the timing rules for each state (announce time, presale window, on-sale time) so transitions execute at the exact moment and are logged for audit?"
91,Events,How do we handle multi-date events (one event with multiple showtimes) so cards/detail pages display correctly and listings sort predictably?
92,Events,How do we support multi-venue events (touring performer) without duplicating content fragments or losing consistency?
93,Events,How do we ensure cross-site event reuse renders with the consuming site’s format while still showing the correct timezone label?
94,Events,"How do we ensure scheduling works for reused content across sites (schedule once, updates everywhere it is displayed)?"
95,Events,"How do we prevent layout breakage when scheduled items expire (collapse module or show fallback message, keep row styling patterns intact)?"
96,Events,How do we standardize the tagging taxonomy so filtering logic works (and isn’t ad-hoc per site/component)?
97,Events,"How do we support “badge/bubble text” on event cards (e.g., “21+”, “Free”, “Phone-free”), including cases where properties intentionally leave it blank today (often using  )—without forcing awkward author workarounds? (aligns to lifecycle + UI rules)"
98,Events,"How do we preview “future state” scheduled content (e.g., “what the page will look like when presale starts”) ?"
99,Events,How do we guarantee event updates reflect within an acceptable caching window on Stage/Prod (and what is the target SLA)?
100,Events,"How do we ensure dynamic queries stay performant (e.g., 200ms server-side target) as events scale across properties?"
101,Events,"How do we prevent expired events from appearing in search results, filtered grids, and cross-promotional components?"
102,Events,How do we support soft-deactivation (temporarily hide from UI but retain data and URL)?
103,Events,How do we restore an archived or expired event without rebuilding the Content Fragment?
104,Events,How do we configure dynamic filtering logic that adapts based on available content (only show filters that apply)?
105,Events,How do we exclude certain categories from filters while still allowing them to display in grids?
106,Events,How do we prevent filter pollution when incorrect Location References are selected?
107,Events,How do we support conditional display rules for badges?
108,Events,"How do we control display limits (e.g., show only 3 upcoming events)?"
109,Events,How do we control fallback behavior if no events match the query?
110,Events,How do we configure search indexing rules for events?
111,Events,How do we configure canonical URLs for event detail pages?
112,Events,"How do event cards adapt across breakpoints (mobile, tablet, desktop)? (they looked weird in the demo)"
113,Events,How do we prevent layout shift when images are missing or delayed?
114,Events,How do we enforce max character limits on titles to protect grid layout?
115,Events,How do we implement friendly name display instead of numeric Location IDs?
116,Events,How do we prevent authors from publishing events without required governance fields?
117,Events,How do we validate that required lifecycle dates are logically sequenced?
118,Events,How do we implement role-based author permissions per property?
119,Events,"How do we configure the number of event cards per row per breakpoint (desktop, tablet, mobile), and is this configurable per page template?"
120,Events,"How do orphaned cards behave in the final row (e.g., 1–2 cards when layout is set to 3 per row)? Can alignment be configured (left, centered, stretched)?"
121,Events,"How do we control card height consistency when titles, statuses, or metadata vary in length?"
122,Events,How does the Smart Event Grid determine priority when multiple events are marked Featured?
123,Events,How do we define maximum events displayed before pagination or load-more is triggered?
124,Events,How do we configure pagination vs. “Load More” vs. infinite scroll for event listings?
125,Events,"How does pagination behave when filters are applied — does it reset, persist, or re-query dynamically?"
126,Events,Are filtered results URL-driven (query parameters) to support sharable filtered views?
127,Events,"How do we configure on-page search scope for events — title only, description, venue, tags, status?"
128,Events,"How does the Events Filter component support multi-select filters (e.g., Venue + Category + Date Range)?"
129,Events,How are filter states handled in browser history (back button behavior)?
130,Events,How do we prevent empty filter states (no results) from degrading UX?
131,Events,"How does filtering interact with event lifecycle (Announced, On Sale, Sold Out)?"
132,Events,Is there version history specific to Content Fragments for event rollback?
133,Events,How do we prevent properties from editing enterprise-managed events?
134,Events,"How are Event Detail Pages structured for SEO (schema markup: Event, Venue, Offer)?"
135,Events,Is sitemap updated instantly upon event publish/unpublish?
136,Events,How do we aggregate events from multiple properties without duplicating CFs?
137,Events,"Should Events remain a Content Fragment model, or should they be modeled using Experience Fragments or a hybrid architecture for cross-site rendering control?"
138,Events,What is the recommended AEM pattern for separating “event data” from “event presentation” to avoid template duplication across properties?
139,Events,Does AEM support inheritance or composition patterns for Content Fragments to allow enterprise-managed fields and property-managed overrides?
140,Events,What is Adobe’s recommended modeling approach for multi-venue or touring events to prevent duplication?
141,Events,Can filtering logic be centrally managed or does each component require independent configuration?
142,Events,Can a single Content Fragment be rendered across multiple site themes without duplication?
143,Events,"Does AEM automatically generate structured data for Event schema, or must it be custom implemented?"
144,Events,Are any fields hardcoded in component logic but not exposed in the CF model
145,Events,"Which fields are display-only vs logic-driving (e.g., status, badges, visibility)?"
146,Events,Can fields be conditionally required based on event type?
147,Events,Does a new property automatically inherit tag taxonomy?
148,Events,What breaks if a property is added but event configuration is incomplete?
149,Events,Are renditions automatically generated per event component use?
150,Events,What happens if an asset is deleted or moved?
151,Events,How do we configure the default fallback image per site per event type?
152,Events,"Which CF fields map to which component elements (card, detail, calendar)?"
153,Events,Does the card and detail page share the same image source?
154,Events,How do we configure the mobile image?
155,Events,Where is the master event taxonomy managed?
156,Events,Are tags property-specific or global?
157,Events,How are retired tags handled in existing events?
158,Events,Does template enforce accessibility standards? (noticed a few issues)
159,Events,Does URL generation follow naming convention rules?
160,Events,Can URL be edited after creation without breaking references?
161,Events,Is there version rollback at page level?
162,Events,Need to demonstrate cross-property/site reuse
163,Careers,"Are accessibility controls (captions, ARIA labels) supported?"
164,Careers,"Are all fields translatable, or are some hard-coded?"
165,Careers,Are field values dynamically inherited or copied per language?
166,Careers,Can alignment rules differ per breakpoint?
167,Careers,Can location-based components fall back to manual text if DPLT record is missing?
168,Careers,Can multiple templates render the same Promotion Fragment?
169,Careers,"Can Promotion Content Fragments be decoupled from Casino-specific fields (e.g., Loyalty, Slot) if reused for non-casino use cases like Hiring Events?"
170,Careers,Can promotions be syndicated across sites dynamically?
171,Careers,Do translations require full manual duplication of every field?
172,Careers,Does Hide remove components server-side or apply client-side CSS only?
173,Careers,Has load testing been performed?
174,Careers,"How are autoplay, mute, and looping governed at component level and browser policy level?"
175,Careers,How are Promotion Fragments translated?
176,Careers,"How are responsive renditions generated — Dynamic Media, Adaptive Image Servlet, or static crops?"
177,Careers,How do we allow authors to toggle between carousel and grid layouts at component level?
178,Careers,"How do we configure an SEO-safe, UX-optimized empty-state behavior when no results match filters?"
179,Careers,How do we configure compound Query Builder logic (path + tag + metadata) for precise Promotion retrieval?
180,Careers,How do we configure fallback thumbnail behavior if video fails to load?
181,Careers,How do we configure site-specific filter sets while reusing a global Promotions component?
182,Careers,How do we eliminate manual breakpoint resizing through template-level grid policies?
183,Careers,How do we enable author-controlled filter display order without requiring code changes?
184,Careers,How do we enable controlled extensibility of Promotion Detail pages without breaking structure?
185,Careers,How do we exclude specific CFs from query results without restructuring the DAM hierarchy?
186,Careers,How do we implement mobile-specific image overrides for Promotions?
187,Careers,How do we implement start/end lifecycle logic for Promotion visibility beyond page activation?
188,Careers,"How do we implement workflow-driven Promotion states (Active, Expired, Archived)?"
189,Careers,How do we improve author experience by enabling searchable CF references instead of manual ID entry?
190,Careers,How do we leverage metadata-driven queries instead of hard-coded ID references?
191,Careers,How do we structure taxonomy governance so new tags automatically surface in filter UI across sites?
192,Careers,How do we support layout variation per Promotion while maintaining template governance?
193,Careers,How do we suppress specific filter values in the UI while retaining underlying metadata for governance?
194,Careers,How does AEM handle deduplication when querying overlapping CF paths?
195,Careers,How does AEM validate Promotion ID uniqueness at repository level?
196,Careers,How does Promotion status impact Query Builder results and direct ID rendering?
197,Careers,How is focal point behavior managed across responsive breakpoints?
198,Careers,How is http://Schema.org structured data applied to Promotion Detail pages for SEO compliance?
199,Careers,How is lazy loading implemented to support Core Web Vitals performance?
200,Careers,How is Promotion ID uniqueness scoped — globally across AEM or per site root?
201,Careers,How is responsive video behavior governed across breakpoints?
202,Careers,"If a CF Model is modified (field added/removed), What happens to existing fragments?"
203,Careers,"If cards wrap unevenly across breakpoints, how is visual balance handled?"
204,Careers,"if DPLT updates, does that update cascade to all components referencing it automatically?"
205,Careers,Is there a global grid system policy that can enforce consistent column behavior across components?
206,Careers,Is there a library of icons?
207,Careers,"Is there a Promotion Detail Page template planned, or are all promotion detail pages expected to be manually created using the Open Page template?"
208,Careers,Is there version control / rollback for CF Model edits?
209,Careers,"Should Hiring Events truly be modeled as Promotions long-term, or should Events CF be enhanced instead? Seems promotions requires even more manual steps than events CF."
210,Careers,What architectural difference causes carousel cards to auto-adjust while standalone cards do not?
211,Careers,What architecture prevents ongoing 1:1 maintenance overhead for Promotion references?
212,Careers,What formats are accepted for icons?
213,Careers,What global responsive grid policies exist at template level?
214,Careers,What is the architectural limitation of External URL mode versus structured 3rd Party integration?
215,Careers,"What is the architectural reason for requiring a manually entered Promotion ID, and how do we eliminate manual dependency?"
216,Careers,What is the caching strategy (Dispatcher/CDN) for Promotion listing queries?
217,Careers,What is the dependency impact if a referenced Promotion ID is modified?
218,Careers,What is the performance impact of broad path-based CF queries at enterprise scale?
219,Careers,What is the recommended pattern for recurring Promotion visibility?
220,Careers,What is the scalable pattern for dynamically surfacing Promotions across grids and carousels without manual ID references?
221,Careers,What is the standardized template architecture for Promotion Detail Pages?
222,Careers,What is the underlying logic that drives filter values — dynamic metadata/tag queries or hard-coded dialog configuration?
223,Careers,What lifecycle controls exist beyond basic publish/unpublish?
224,Careers,What performance thresholds should we consider for filter volume in Query Builder–driven listings?
225,Careers,What provider constraints exist when using External URL configuration?
226,Careers,What validation or fallback logic protects layout integrity when asset specs are incorrect?
227,Careers,Where is layout behavior governed — Editable Template Policy or component dialog?
228,Careers,Why do standalone card components Icon and video cards) not inherit responsive grid policies automatically?
229,Tagging_Taxonomy_Metadata_Gov,"What is the current intended taxonomy architecture under the SHRSS namespace (Categories, Category, Event Categories, Properties, Property Names, etc.)?"
230,Tagging_Taxonomy_Metadata_Gov,"What are the functional differences between: Categories, Category, Event Categories, etc?"
231,Tagging_Taxonomy_Metadata_Gov,Which components or services currently reference each of these tag branches?
232,Tagging_Taxonomy_Metadata_Gov,What is the safest approach to consolidating or renaming tag branches without breaking?
233,Tagging_Taxonomy_Metadata_Gov,What validation steps should be completed before restructuring the taxonomy?
234,Tagging_Taxonomy_Metadata_Gov,Which site components rely on ACS Commons Path/Tag mapping?
235,Tagging_Taxonomy_Metadata_Gov,Where are Generic Lists currently configured and what functional dependencies do they drive?
236,Tagging_Taxonomy_Metadata_Gov,Are Generic Lists governing allowed tag values in specific components?
237,Tagging_Taxonomy_Metadata_Gov,s there documentation mapping each Generic List to its consuming component?
238,Tagging_Taxonomy_Metadata_Gov,Why are some Content Fragment Model fields driven by static enumerations instead of Tag taxonomy?
239,Tagging_Taxonomy_Metadata_Gov,Should Category fields inside CF Models be refactored to reference centralized Tags instead of hard-coded options?
240,Tagging_Taxonomy_Metadata_Gov,"What is the difference in implementation between CQ:tags field, Category dropdown field, Metadata schema tag-driven dropdowns?"
241,Tagging_Taxonomy_Metadata_Gov,Is Category a required field on Content Fragments?
242,Tagging_Taxonomy_Metadata_Gov,What components currently query Content Fragments by Category tag?
243,Tagging_Taxonomy_Metadata_Gov,"How does tag selection in a Content Fragment affect dynamic listings (e.g., News card lists)?"
244,Tagging_Taxonomy_Metadata_Gov,"If taxonomy is consolidated, how will this impact existing Content Fragments?"
245,Tagging_Taxonomy_Metadata_Gov,Which asset metadata fields are currently tag-driven?
246,Tagging_Taxonomy_Metadata_Gov,Are asset metadata tag fields governed differently than page-level tagging?
247,Tagging_Taxonomy_Metadata_Gov,What is the process to audit tag usage? What is the recommended process for exporting asset metadata for audit (without selecting “All Properties”)?
248,Tagging_Taxonomy_Metadata_Gov,Is there a recommended naming convention for tag namespaces and branches?
249,Tagging_Taxonomy_Metadata_Gov,What happens if a tag in use is deleted?
250,Tagging_Taxonomy_Metadata_Gov,Does AEM provide dependency warnings before tag deletion?
251,Tagging_Taxonomy_Metadata_Gov,What functionality in SHRSS implementation is currently not supported in Universal Editor?
252,Tagging_Taxonomy_Metadata_Gov,What is the roadmap for migrating back to Universal Editor (Experience Cloud editor)?
253,Tagging_Taxonomy_Metadata_Gov,Are any tag-related features incompatible with Universal Editor?
254,Tagging_Taxonomy_Metadata_Gov,How do we validate that no dynamic components break after tag consolidation?
255,DAM_Training_Usage_Admin,Why were Careers assets renamed incorrectly during migration? Was the migration tool responsible for the naming changes?
256,DAM_Training_Usage_Admin,What metadata fields should be mandatory upon upload?
257,DAM_Training_Usage_Admin,Should we rely on metadata (not folder location) for identifying asset languages (EN/ES/FR)?
258,DAM_Training_Usage_Admin,Can we adjust how asset filenames display in the asset picker and in the Sites rail so authors can see more of the filename (avoid truncation)?
259,DAM_Training_Usage_Admin,How do static renditions get automatically chosen by out‑of‑the‑box components?
260,DAM_Training_Usage_Admin,How can we prevent components from accidentally pulling old or duplicate assets?
261,DAM_Training_Usage_Admin,"What are the recommended image rendition sizes for SHRSS components (cards, banners, hero, gallery, tiles, etc.)?"
262,DAM_Training_Usage_Admin,"When an author uploads a new asset, how do we ensure the correct rendition is chosen automatically?"
263,DAM_Training_Usage_Admin,Should static renditions be fully disabled once Dynamic Media is launched?
264,DAM_Training_Usage_Admin,What is the plan for transitioning from static renditions → Dynamic Media presets?
265,DAM_Training_Usage_Admin,"When Dynamic Media is implemented, will image presets replace all static renditions?"
266,DAM_Training_Usage_Admin,Do we need dedicated language folders in DAM to support future localization automation?
267,DAM_Training_Usage_Admin,Can metadata alone be used to identify language-specific versions of assets?
268,Shared_Data,How do we decouple the footer? mote very page needs the pre footer.
269,Shared_Data,How can we validate which components are allowed on which templates?
270,Shared_Data,How do we enforce component‑level governance so property teams don’t misuse components?
271,Shared_Data,Can we enable/disable components at the template level without making new templates?
272,Shared_Data,Are there any components that should never be used inside containers?
273,Shared_Data,How can we force authors into structured content (CFs) instead of free‑form page edits?
274,Shared_Data,Which components support personalization (Target / ContextHub)?
275,Shared_Data,"Which components support responsive behavior automatically, and which require specific authoring steps?"
276,Shared_Data,"Is there a component audit available showing which components rely on clientlibs, HTML templates, Sling models, etc.?"
277,Shared_Data,Which components support drag‑and‑drop DAM assets natively?
278,Shared_Data,"Which components support variants / styles, and how do we expose more styles?"
279,Shared_Data,Which CF models support translation and which do not?
280,Shared_Data,Do CF references break if CFs are moved into new folders?
281,Shared_Data,"Can CF models be versioned, and how do we migrate existing CFs to a new version?"
282,Shared_Data,What is the recommended governance for creating new CF models? Who approves them?
283,Shared_Data,How do validation rules in CF models affect existing fragments when rules change?
284,Shared_Data,How do authors locate CFs when the number of fragments becomes very large?
285,Shared_Data,"Can CFs support conditional fields or business rules (e.g., show this field only when…)?"
286,Shared_Data,How do XF variations handle caching across sites?
287,Shared_Data,When should an XF NOT be used because of performance implications?
288,Shared_Data,"Can XF inheritance be partial? (e.g., inherit CTA but not image?)"
289,Shared_Data,How do we prevent authors from editing a variation that should be locked?
290,Shared_Data,What is the versioning strategy for XFs used on multiple sites with different publish cycles?
291,Shared_Data,"How does AEM’s site search index XFs, CFs, and DAM assets?"
292,Shared_Data,Can we exclude certain XF variations or CF fields from search indexing?
293,Shared_Data,How are navigation links cached and invalidated globally (important for corporate → property consistency)?
294,Shared_Data,"Can we define navigation hierarchies outside the Experience Fragment (e.g., via CFs)?"
295,Shared_Data,How do we properly use “policy inheritance” to avoid accidental template override?
296,Shared_Data,How do we create a template that allows flexible component-level permissions but retains design rules?
297,Shared_Data,Can we restrict certain components on certain templates for governance?
298,Shared_Data,Can we create a template with two optional headers or footers
299,Shared_Data,"When authors choose an image from the DAM, can we warn them if the image is too large (e.g., 12MB)?"
300,Shared_Data,Can components auto‑select the correct rendition based on container width?
301,Shared_Data,"Does the component detect WebP, AVIF, or DM renditions automatically?"
302,Shared_Data,"When Dynamic Media launches, do any current components need refactoring?"
303,Shared_Data,How do CFs work with AEM translation frameworks?
304,Shared_Data,"Can XFs be translated automatically, or must they be duplicated per language?"
305,Shared_Data,How do we ensure shared CF models work across EN/ES/FR without breaking?
306,Shared_Data,Do localized assets need folder-level locale structure if we rely on metadata only?
307,Shared_Data,Which components automatically contain http://schema.org markup?
308,Shared_Data,Should we add structured data fields to CF models for SEO?
309,Shared_Data,How do we ensure canonical URLs work when XF content is shared across pages?
310,Shared_Data,To what extent do CF‑ or XF‑driven pages get indexed differently?
311,Shared_Data,How does AEM handle caching and invalidation when CFs are updated but used on 30+ pages?
312,Shared_Data,What is the recommended publishing workflow when shared content exists across multiple sites?
313,Shared_Data,Do we need a “Content Freeze” rule when updating shared XFs or CFs?
314,Shared_Data,Is there an audit log showing which components are used on which pages (to avoid accidental side effects)?
315,Shared_Data,How do we troubleshoot page performance if components load large images or too many CF references?
316,Locations,"Which fields are sourced from DPLT, which are managed directly in the CMS? Is it just relation to location ID?"
317,Locations,"If a location’s status is changed, how does that impact its visibility or behavior in AEM?"
318,Locations,"When a location is added to DPLT, does it automatically appear in AEM even if some values are blank?"
319,Locations,Is the display or availability of locations in AEM driven by any specific DPLT status?
320,Locations,What are the steps to add locations to another page in AEM?
321,Locations,How can we add locations without using the accordions?
322,Locations,How do we add decorations with the map?
323,Locations,"How can we add only the map and locations, without including accordions?"
324,Locations,Why are images not displayed for some locations?
325,Locations,How do we add a location not yet in the DPLT?
326,Locations,"How do we set up criteria in AEM to display specific locations? For example, based on one or multiple LOBs, different DPLT criteria (geo, amenities, sub-locations, categories)"
327,Locations,"Which DPLT field should be used to replace the Location ID as the Content Fragment Title (e.g., Legal Name, Long Name, Short Name)?"
328,Locations,What is the correct process for bulk updating Content Fragment titles using metadata values?
329,Locations,Which fields in the Location Content Fragment are read-only vs. author-editable?
330,Locations,"When a new location is added to DPLT, does the author need to manually check “Is Delivery”?"
331,Locations,What image specifications (size/dimensions) are required for the Location image field used in hotel components?
332,Locations,What happens if authors mistakenly populate hotel-specific editable fields on a cafe location (or vice versa)?
333,Locations,"Is component display logic restricted by Line of Business (LOB) to prevent incorrect cross-display (e.g., café appearing in hotel components)?"
334,Locations,"If authors incorrectly check “Is Delivery” for a hotel, will it surface in cafe delivery results?"
335,Locations,Are any fields in the Location Content Fragment required for publishing?
336,Locations,Are delivery links automatically configured to open in a new tab?
337,Locations,Is there any scenario where delivery links would be internal instead of external?
338,Locations,"If delivery partners change, is updating the URL in the Content Fragment sufficient?"
339,Locations,Does adding delivery partners require republishing the Location fragment only?
340,Locations,"If a new field (e.g., Meeting Room View) is needed, what is the process to update the Content Fragment Model?"
341,Locations,Who has permission to modify Content Fragment Models?
342,Locations,"After adding a new field to the model, what additional front-end updates are required for display?"
343,Locations,"If a new venue data field is added, does the Sort By dropdown also require component updates?"
344,Locations,"Are venue fields (Meeting Rooms, Max Capacity, Area, Guest Rooms) hard-coded in the component?"
345,Locations,Are venue fields required for publishing?
346,Locations,Can authors add additional buttons beyond “Additional Information” and “Fact Sheet”?
347,Locations,Is the “View More” link automatically tied to the uploaded fact sheet PDF?
348,Locations,"Are filter categories (e.g., Type of Destination, Type of Vacation) configurable without development?"
349,Locations,"If a new filter category is needed, does that require Content Fragment Model changes?"
350,Locations,"If a new sort option is needed, does that require both model and component updates?"
351,Locations,"Are regions (North America, Europe, etc.) tied to folder structure or another data source?"
352,Locations,Can specific countries be manually excluded from a region list?
353,Locations,Can authors manually control which countries display under each region?
354,Locations,Is the inability to manually control country listings considered a functional gap?
355,Locations,Why are some images not displaying on the Destinations page (missing image vs. unpublished)?
356,Locations,Is there image position/focal point control available in this component?
357,Locations,"Should styling inconsistencies (accordion width, padding issues) be treated as gaps?"
358,Locations,Is there a formal review process before components are considered “handed off”?
359,Locations,Does the Google Map component allow manual country selection (unlike Destination Search)?
360,Locations,"Should locator behavior (hotels, cafes, corporate) allow granular country-level control?"
361,Locations,Is the Google Map component functionally different from Destination Search & Filters?
362,Locations,Will map functionality be reviewed separately in KT?
363,Locations,Is the Booking Widget configured via Experience Fragment?
364,Locations,Is the “Book Now” modal referenced in the header via the Crown CTA component?
365,Locations,How does the theme override button styling in Experience Fragments?
366,Locations,What is the difference between “Default” and “Pop-up” style variations?
367,Locations,Where is the booking URL configured for each hotel?
368,Locations,"Is booking engine logic currently limited to specific engines (e.g., SynXis)?"
369,Locations,"If additional booking engines are required, does that require component enhancement?"
370,Locations,Should visual alignment issues in the booking widget be logged as a gap?
371,Locations,Where should A/B testing (Target) be applied — at Experience Fragment level or elsewhere?
372,Locations,Is analytics event firing handled in the component or at developer/data layer level?
