Session,Question,Date Asked,Asked By ,Answer,Answered On,Answered By,Status,AI-Generated Question?,Confidence,Reasoning
Events,How do we preview Event Detail pages in author mode without publishing to Stage or Production?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure ticket prices?,,@Mayte Eme,,,,Pending,,,
Events,How do we preview Event Listing page in author mode without publishing to Stage or Production?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure recurring events (weekly, monthly) without creating separate Content Fragments for each occurrence?",,@Mayte Eme,,,,Pending,,,
Events,How do I group events?,,@Mayte Eme,,,,Pending,,,
Events,"How do we conditionally display different CTAs (Buy Tickets, RSVP, Learn More) based on event type or status?",,@Mayte Eme,,,,Pending,,,
Events,"How do we manage event-specific SEO fields (Meta Title, Meta Description, Open Graph, Schema Event markup)?",,@Mayte Eme,,,,Pending,,,
Events,How do we display venue name separately from full address instead of relying solely on the Location Reference field?,,@Mayte Eme,,,,Pending,,,
Events,"How do we add structured compliance disclaimers (ex: 21+, ID required) as dedicated fields instead of manual RTE content?",,@Mayte Eme,,,,Pending,,,
Events,How do we duplicate or clone events efficiently for repeat use cases?,,@Mayte Eme,,,,Pending,,,
Events,"How do we report on which Event Content Fragments are live, unpublished, expired, or scheduled?",,@Mayte Eme,,,,Pending,,,
Events,How do we prioritize certain events globally (pinning logic) beyond chronological sorting?,,@Mayte Eme,,,,Pending,,,
Events,How do we integrate event status dynamically with ticketing systems?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure different event card layout variations (horizontal, vertical, large hero, compact)?",,@Mayte Eme,,,,Pending,,,
Events,How do we configure default filters for specific properties (ex: default to “Concerts” category)?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure the filters: venues, categories, date presets and custom date range, properties?",,@Mayte Eme,,,,Pending,,,
Events,How do we query events to be displayed within site in other pages?,,@Mayte Eme,,,,Pending,,,
Events,How do we query events from multiple sites or all sites to be displayed in other site? (i.e. entertainment site),,@Mayte Eme,,,,Pending,,,
Events,"How do we configure event lifecycle states (Announcement/Presale/On-Sale/Post-Event/Cancelled/Rescheduled) so the badge, CTA, and messaging change automatically without manual republish?",,@Mayte Eme,,,,Pending,,,
Events,"How do we define the timing rules for each state (announce time, presale window, on-sale time) so transitions execute at the exact moment and are logged for audit?",,@Mayte Eme,,,,Pending,,,
Events,How do we handle multi-date events (one event with multiple showtimes) so cards/detail pages display correctly and listings sort predictably?,,@Mayte Eme,,,,Pending,,,
Events,How do we support multi-venue events (touring performer) without duplicating content fragments or losing consistency?,,@Mayte Eme,,,,Pending,,,
Events,How do we ensure cross-site event reuse renders with the consuming site’s format while still showing the correct timezone label?,,@Mayte Eme,,,,Pending,,,
Events,"How do we ensure scheduling works for reused content across sites (schedule once, updates everywhere it is displayed)?",,@Mayte Eme,,,,Pending,,,
Events,"How do we prevent layout breakage when scheduled items expire (collapse module or show fallback message, keep row styling patterns intact)?",,@Mayte Eme,,,,Pending,,,
Events,How do we standardize the tagging taxonomy so filtering logic works (and isn’t ad-hoc per site/component)?,,@Mayte Eme,,,,Pending,,,
Events,"How do we support “badge/bubble text” on event cards (e.g., “21+”, “Free”, “Phone-free”), including cases where properties intentionally leave it blank today (often using  )—without forcing awkward author workarounds? (aligns to lifecycle + UI rules)",,@Mayte Eme,,,,Pending,,,
Events,"How do we preview “future state” scheduled content (e.g., “what the page will look like when presale starts”) ?",,@Mayte Eme,,,,Pending,,,
Events,How do we guarantee event updates reflect within an acceptable caching window on Stage/Prod (and what is the target SLA)?,,@Mayte Eme,,,,Pending,,,
Events,"How do we ensure dynamic queries stay performant (e.g., 200ms server-side target) as events scale across properties?",,@Mayte Eme,,,,Pending,,,
Events,"How do we prevent expired events from appearing in search results, filtered grids, and cross-promotional components?",,@Mayte Eme,,,,Pending,,,
Events,How do we support soft-deactivation (temporarily hide from UI but retain data and URL)?,,@Mayte Eme,,,,Pending,,,
Events,How do we restore an archived or expired event without rebuilding the Content Fragment?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure dynamic filtering logic that adapts based on available content (only show filters that apply)?,,@Mayte Eme,,,,Pending,,,
Events,How do we exclude certain categories from filters while still allowing them to display in grids?,,@Mayte Eme,,,,Pending,,,
Events,How do we prevent filter pollution when incorrect Location References are selected?,,@Mayte Eme,,,,Pending,,,
Events,How do we support conditional display rules for badges?,,@Mayte Eme,,,,Pending,,,
Events,"How do we control display limits (e.g., show only 3 upcoming events)?",,@Mayte Eme,,,,Pending,,,
Events,How do we control fallback behavior if no events match the query?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure search indexing rules for events?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure canonical URLs for event detail pages?,,@Mayte Eme,,,,Pending,,,
Events,"How do event cards adapt across breakpoints (mobile, tablet, desktop)? (they looked weird in the demo)",,@Mayte Eme,,,,Pending,,,
Events,How do we prevent layout shift when images are missing or delayed?,,@Mayte Eme,,,,Pending,,,
Events,How do we enforce max character limits on titles to protect grid layout?,,@Mayte Eme,,,,Pending,,,
Events,How do we implement friendly name display instead of numeric Location IDs?,,@Mayte Eme,,,,Pending,,,
Events,How do we prevent authors from publishing events without required governance fields?,,@Mayte Eme,,,,Pending,,,
Events,How do we validate that required lifecycle dates are logically sequenced?,,@Mayte Eme,,,,Pending,,,
Events,How do we implement role-based author permissions per property?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure the number of event cards per row per breakpoint (desktop, tablet, mobile), and is this configurable per page template?",,@Mayte Eme,,,,Pending,,,
Events,"How do orphaned cards behave in the final row (e.g., 1–2 cards when layout is set to 3 per row)? Can alignment be configured (left, centered, stretched)?",,@Mayte Eme,,,,Pending,,,
Events,"How do we control card height consistency when titles, statuses, or metadata vary in length?",,@Mayte Eme,,,,Pending,,,
Events,How does the Smart Event Grid determine priority when multiple events are marked Featured?,,@Mayte Eme,,,,Pending,,,
Events,How do we define maximum events displayed before pagination or load-more is triggered?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure pagination vs. “Load More” vs. infinite scroll for event listings?,,@Mayte Eme,,,,Pending,,,
Events,"How does pagination behave when filters are applied — does it reset, persist, or re-query dynamically?",,@Mayte Eme,,,,Pending,,,
Events,Are filtered results URL-driven (query parameters) to support sharable filtered views?,,@Mayte Eme,,,,Pending,,,
Events,"How do we configure on-page search scope for events — title only, description, venue, tags, status?",,@Mayte Eme,,,,Pending,,,
Events,"How does the Events Filter component support multi-select filters (e.g., Venue + Category + Date Range)?",,@Mayte Eme,,,,Pending,,,
Events,How are filter states handled in browser history (back button behavior)?,,@Mayte Eme,,,,Pending,,,
Events,How do we prevent empty filter states (no results) from degrading UX?,,@Mayte Eme,,,,Pending,,,
Events,"How does filtering interact with event lifecycle (Announced, On Sale, Sold Out)?",,@Mayte Eme,,,,Pending,,,
Events,Is there version history specific to Content Fragments for event rollback?,,@Mayte Eme,,,,Pending,,,
Events,How do we prevent properties from editing enterprise-managed events?,,@Mayte Eme,,,,Pending,,,
Events,"How are Event Detail Pages structured for SEO (schema markup: Event, Venue, Offer)?",,@Mayte Eme,,,,Pending,,,
Events,Is sitemap updated instantly upon event publish/unpublish?,,@Mayte Eme,,,,Pending,,,
Events,How do we aggregate events from multiple properties without duplicating CFs?,,@Mayte Eme,,,,Pending,,,
Events,"Should Events remain a Content Fragment model, or should they be modeled using Experience Fragments or a hybrid architecture for cross-site rendering control?",,@Mayte Eme,,,,Pending,,,
Events,What is the recommended AEM pattern for separating “event data” from “event presentation” to avoid template duplication across properties?,,@Mayte Eme,,,,Pending,,,
Events,Does AEM support inheritance or composition patterns for Content Fragments to allow enterprise-managed fields and property-managed overrides?,,@Mayte Eme,,,,Pending,,,
Events,What is Adobe’s recommended modeling approach for multi-venue or touring events to prevent duplication?,,@Mayte Eme,,,,Pending,,,
Events,Can filtering logic be centrally managed or does each component require independent configuration?,,@Mayte Eme,,,,Pending,,,
Events,Can a single Content Fragment be rendered across multiple site themes without duplication?,,@Mayte Eme,,,,Pending,,,
Events,"Does AEM automatically generate structured data for Event schema, or must it be custom implemented?",,@Mayte Eme,,,,Pending,,,
Events,Are any fields hardcoded in component logic but not exposed in the CF model,,@Mayte Eme,,,,Pending,,,
Events,"Which fields are display-only vs logic-driving (e.g., status, badges, visibility)?",,@Mayte Eme,,,,Pending,,,
Events,Can fields be conditionally required based on event type?,,@Mayte Eme,,,,Pending,,,
Events,Does a new property automatically inherit tag taxonomy?,,@Mayte Eme,,,,Pending,,,
Events,What breaks if a property is added but event configuration is incomplete?,,@Mayte Eme,,,,Pending,,,
Events,Are renditions automatically generated per event component use?,,@Mayte Eme,,,,Pending,,,
Events,What happens if an asset is deleted or moved?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure the default fallback image per site per event type?,,@Mayte Eme,,,,Pending,,,
Events,"Which CF fields map to which component elements (card, detail, calendar)?",,@Mayte Eme,,,,Pending,,,
Events,Does the card and detail page share the same image source?,,@Mayte Eme,,,,Pending,,,
Events,How do we configure the mobile image?,,@Mayte Eme,,,,Pending,,,
Events,Where is the master event taxonomy managed?,,@Mayte Eme,,,,Pending,,,
Events,Are tags property-specific or global?,,@Mayte Eme,,,,Pending,,,
Events,How are retired tags handled in existing events?,,@Mayte Eme,,,,Pending,,,
Events,Does template enforce accessibility standards? (noticed a few issues),,@Mayte Eme,,,,Pending,,,
Events,Does URL generation follow naming convention rules?,,@Mayte Eme,,,,Pending,,,
Events,Can URL be edited after creation without breaking references?,,@Mayte Eme,,,,Pending,,,
Events,Is there version rollback at page level?,,@Mayte Eme,,,,Pending,,,
Events,Need to demonstrate cross-property/site reuse,,@Mayte Eme,,,,Pending,,,
Careers,"Are accessibility controls (captions, ARIA labels) supported?",,@Mayte Eme,,,,Pending,,,
Careers,"Are all fields translatable, or are some hard-coded?",,@Mayte Eme,,,,Pending,,,
Careers,Are field values dynamically inherited or copied per language?,,@Mayte Eme,,,,Pending,,,
Careers,Can alignment rules differ per breakpoint?,,@Mayte Eme,,,,Pending,,,
Careers,Can location-based components fall back to manual text if DPLT record is missing?,,@Mayte Eme,,,,Pending,,,
Careers,Can multiple templates render the same Promotion Fragment?,,@Mayte Eme,,,,Pending,,,
Careers,"Can Promotion Content Fragments be decoupled from Casino-specific fields (e.g., Loyalty, Slot) if reused for non-casino use cases like Hiring Events?",,@Mayte Eme,,,,Pending,,,
Careers,Can promotions be syndicated across sites dynamically?,,@Mayte Eme,,,,Pending,,,
Careers,Do translations require full manual duplication of every field?,,@Mayte Eme,,,,Pending,,,
Careers,Does Hide remove components server-side or apply client-side CSS only?,,@Mayte Eme,,,,Pending,,,
Careers,Has load testing been performed?,,@Mayte Eme,,,,Pending,,,
Careers,"How are autoplay, mute, and looping governed at component level and browser policy level?",,@Mayte Eme,,,,Pending,,,
Careers,How are Promotion Fragments translated?,,@Mayte Eme,,,,Pending,,,
Careers,"How are responsive renditions generated — Dynamic Media, Adaptive Image Servlet, or static crops?",,@Mayte Eme,,,,Pending,,,
Careers,How do we allow authors to toggle between carousel and grid layouts at component level?,,@Mayte Eme,,,,Pending,,,
Careers,"How do we configure an SEO-safe, UX-optimized empty-state behavior when no results match filters?",,@Mayte Eme,,,,Pending,,,
Careers,How do we configure compound Query Builder logic (path + tag + metadata) for precise Promotion retrieval?,,@Mayte Eme,,,,Pending,,,
Careers,How do we configure fallback thumbnail behavior if video fails to load?,,@Mayte Eme,,,,Pending,,,
Careers,How do we configure site-specific filter sets while reusing a global Promotions component?,,@Mayte Eme,,,,Pending,,,
Careers,How do we eliminate manual breakpoint resizing through template-level grid policies?,,@Mayte Eme,,,,Pending,,,
Careers,How do we enable author-controlled filter display order without requiring code changes?,,@Mayte Eme,,,,Pending,,,
Careers,How do we enable controlled extensibility of Promotion Detail pages without breaking structure?,,@Mayte Eme,,,,Pending,,,
Careers,How do we exclude specific CFs from query results without restructuring the DAM hierarchy?,,@Mayte Eme,,,,Pending,,,
Careers,How do we implement mobile-specific image overrides for Promotions?,,@Mayte Eme,,,,Pending,,,
Careers,How do we implement start/end lifecycle logic for Promotion visibility beyond page activation?,,@Mayte Eme,,,,Pending,,,
Careers,"How do we implement workflow-driven Promotion states (Active, Expired, Archived)?",,@Mayte Eme,,,,Pending,,,
Careers,How do we improve author experience by enabling searchable CF references instead of manual ID entry?,,@Mayte Eme,,,,Pending,,,
Careers,How do we leverage metadata-driven queries instead of hard-coded ID references?,,@Mayte Eme,,,,Pending,,,
Careers,How do we structure taxonomy governance so new tags automatically surface in filter UI across sites?,,@Mayte Eme,,,,Pending,,,
Careers,How do we support layout variation per Promotion while maintaining template governance?,,@Mayte Eme,,,,Pending,,,
Careers,How do we suppress specific filter values in the UI while retaining underlying metadata for governance?,,@Mayte Eme,,,,Pending,,,
Careers,How does AEM handle deduplication when querying overlapping CF paths?,,@Mayte Eme,,,,Pending,,,
Careers,How does AEM validate Promotion ID uniqueness at repository level?,,@Mayte Eme,,,,Pending,,,
Careers,How does Promotion status impact Query Builder results and direct ID rendering?,,@Mayte Eme,,,,Pending,,,
Careers,How is focal point behavior managed across responsive breakpoints?,,@Mayte Eme,,,,Pending,,,
Careers,How is http://Schema.org structured data applied to Promotion Detail pages for SEO compliance?,,@Mayte Eme,,,,Pending,,,
Careers,How is lazy loading implemented to support Core Web Vitals performance?,,@Mayte Eme,,,,Pending,,,
Careers,How is Promotion ID uniqueness scoped — globally across AEM or per site root?,,@Mayte Eme,,,,Pending,,,
Careers,How is responsive video behavior governed across breakpoints?,,@Mayte Eme,,,,Pending,,,
Careers,"If a CF Model is modified (field added/removed), What happens to existing fragments?",,@Mayte Eme,,,,Pending,,,
Careers,"If cards wrap unevenly across breakpoints, how is visual balance handled?",,@Mayte Eme,,,,Pending,,,
Careers,"if DPLT updates, does that update cascade to all components referencing it automatically?",,@Mayte Eme,,,,Pending,,,
Careers,Is there a global grid system policy that can enforce consistent column behavior across components?,,@Mayte Eme,,,,Pending,,,
Careers,Is there a library of icons?,,@Mayte Eme,,,,Pending,,,
Careers,"Is there a Promotion Detail Page template planned, or are all promotion detail pages expected to be manually created using the Open Page template?",,@Mayte Eme,,,,Pending,,,
Careers,Is there version control / rollback for CF Model edits?,,@Mayte Eme,,,,Pending,,,
Careers,"Should Hiring Events truly be modeled as Promotions long-term, or should Events CF be enhanced instead? Seems promotions requires even more manual steps than events CF.",,@Mayte Eme,,,,Pending,,,
Careers,What architectural difference causes carousel cards to auto-adjust while standalone cards do not?,,@Mayte Eme,,,,Pending,,,
Careers,What architecture prevents ongoing 1:1 maintenance overhead for Promotion references?,,@Mayte Eme,,,,Pending,,,
Careers,What formats are accepted for icons?,,@Mayte Eme,,,,Pending,,,
Careers,What global responsive grid policies exist at template level?,,@Mayte Eme,,,,Pending,,,
Careers,What is the architectural limitation of External URL mode versus structured 3rd Party integration?,,@Mayte Eme,,,,Pending,,,
Careers,"What is the architectural reason for requiring a manually entered Promotion ID, and how do we eliminate manual dependency?",,@Mayte Eme,,,,Pending,,,
Careers,What is the caching strategy (Dispatcher/CDN) for Promotion listing queries?,,@Mayte Eme,,,,Pending,,,
Careers,What is the dependency impact if a referenced Promotion ID is modified?,,@Mayte Eme,,,,Pending,,,
Careers,What is the performance impact of broad path-based CF queries at enterprise scale?,,@Mayte Eme,,,,Pending,,,
Careers,What is the recommended pattern for recurring Promotion visibility?,,@Mayte Eme,,,,Pending,,,
Careers,What is the scalable pattern for dynamically surfacing Promotions across grids and carousels without manual ID references?,,@Mayte Eme,,,,Pending,,,
Careers,What is the standardized template architecture for Promotion Detail Pages?,,@Mayte Eme,,,,Pending,,,
Careers,What is the underlying logic that drives filter values — dynamic metadata/tag queries or hard-coded dialog configuration?,,@Mayte Eme,,,,Pending,,,
Careers,What lifecycle controls exist beyond basic publish/unpublish?,,@Mayte Eme,,,,Pending,,,
Careers,What performance thresholds should we consider for filter volume in Query Builder–driven listings?,,@Mayte Eme,,,,Pending,,,
Careers,What provider constraints exist when using External URL configuration?,,@Mayte Eme,,,,Pending,,,
Careers,What validation or fallback logic protects layout integrity when asset specs are incorrect?,,@Mayte Eme,,,,Pending,,,
Careers,Where is layout behavior governed — Editable Template Policy or component dialog?,,@Mayte Eme,,,,Pending,,,
Careers,Why do standalone card components Icon and video cards) not inherit responsive grid policies automatically?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,"What is the current intended taxonomy architecture under the SHRSS namespace (Categories, Category, Event Categories, Properties, Property Names, etc.)?",,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,"What are the functional differences between: Categories, Category, Event Categories, etc?",,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Which components or services currently reference each of these tag branches?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What is the safest approach to consolidating or renaming tag branches without breaking?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What validation steps should be completed before restructuring the taxonomy?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Which site components rely on ACS Commons Path/Tag mapping?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Where are Generic Lists currently configured and what functional dependencies do they drive?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Are Generic Lists governing allowed tag values in specific components?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,s there documentation mapping each Generic List to its consuming component?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Why are some Content Fragment Model fields driven by static enumerations instead of Tag taxonomy?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Should Category fields inside CF Models be refactored to reference centralized Tags instead of hard-coded options?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,"What is the difference in implementation between CQ:tags field, Category dropdown field, Metadata schema tag-driven dropdowns?",,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Is Category a required field on Content Fragments?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What components currently query Content Fragments by Category tag?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,"How does tag selection in a Content Fragment affect dynamic listings (e.g., News card lists)?",,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,"If taxonomy is consolidated, how will this impact existing Content Fragments?",,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Which asset metadata fields are currently tag-driven?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Are asset metadata tag fields governed differently than page-level tagging?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What is the process to audit tag usage? What is the recommended process for exporting asset metadata for audit (without selecting “All Properties”)?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Is there a recommended naming convention for tag namespaces and branches?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What happens if a tag in use is deleted?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Does AEM provide dependency warnings before tag deletion?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What functionality in SHRSS implementation is currently not supported in Universal Editor?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,What is the roadmap for migrating back to Universal Editor (Experience Cloud editor)?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,Are any tag-related features incompatible with Universal Editor?,,@Mayte Eme,,,,Pending,,,
Tagging_Taxonomy_Metadata_Gov,How do we validate that no dynamic components break after tag consolidation?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Why were Careers assets renamed incorrectly during migration? Was the migration tool responsible for the naming changes?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,What metadata fields should be mandatory upon upload?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Should we rely on metadata (not folder location) for identifying asset languages (EN/ES/FR)?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Can we adjust how asset filenames display in the asset picker and in the Sites rail so authors can see more of the filename (avoid truncation)?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,How do static renditions get automatically chosen by out‑of‑the‑box components?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,How can we prevent components from accidentally pulling old or duplicate assets?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,"What are the recommended image rendition sizes for SHRSS components (cards, banners, hero, gallery, tiles, etc.)?",,@Mayte Eme,,,,Pending,,,
